ambiguous_bar,break_even_activated,commission,commission_r,commission_usd_round_turn,cost_r,direction,entry,entry_index,entry_slippage_price,entry_time,exit_index,exit_price,exit_slippage_price,exit_time,experiment_id,gross_r,management_events,net_r,outcome,partial_taken,price_cost_round_trip,signal_index,signal_time,slippage_price_round_trip,slippage_r,spread_pips,spread_points,spread_price,spread_r,stop,strategy_id,strategy_version,structure_key,swap_r,symbol_metadata_version,target,total_cost,total_cost_r,unresolved_open_position
False,False,0.0,0.0,0.0,0.322917,long,1.17318,3350,3e-05,2025-07-08 14:05,3360,1.17222,3e-05,2025-07-08 14:55,baseline,-1.0,(),-1.322917,STOP,False,0.00031,3349,2025-07-08 14:00,6e-05,0.0625,2.5,25.0,0.00025,0.2604166667,1.17222,EURUSD,1.0.0:21f874e75b4864aa,long:41:56,0.0,symbol-metadata-v1,1.17511,0.00031,0.3229166667,False
False,True,0.0,0.0,0.0,0.574074,long,1.17349,3850,3e-05,2025-07-10 07:45,3866,1.17349,3e-05,2025-07-10 09:05,baseline,0.5,"({'event': '+1R_REACHED', 'bar': 13}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 13}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.17349, 'bar': 13})",-0.074074,STOP,True,0.00031,3849,2025-07-10 07:40,6e-05,0.1111111111,2.5,25.0,0.00025,0.462962963,1.17295,EURUSD,1.0.0:21f874e75b4864aa,long:42:57,0.0,symbol-metadata-v1,1.17457,0.00031,0.5740740741,False
False,True,0.0,0.0,0.0,0.574074,short,1.1688,4513,3e-05,2025-07-14 15:00,4527,1.16772,3e-05,2025-07-14 16:10,baseline,1.5,"({'event': '+1R_REACHED', 'bar': 6}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 6}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.1688, 'bar': 6})",0.925926,TARGET,True,0.00031,4512,2025-07-14 14:55,6e-05,0.1111111111,2.5,25.0,0.00025,0.462962963,1.16934,EURUSD,1.0.0:21f874e75b4864aa,short:58:55,0.0,symbol-metadata-v1,1.16772,0.00031,0.5740740741,False
False,True,0.0,0.0,0.0,0.738095,short,1.16213,5301,3e-05,2025-07-17 08:40,5305,1.16128,3e-05,2025-07-17 09:00,baseline,1.511905,"({'event': '+1R_REACHED', 'bar': 3}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 3}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.16213, 'bar': 3})",0.77381,TARGET,True,0.00031,5300,2025-07-17 08:35,6e-05,0.1428571429,2.5,25.0,0.00025,0.5952380952,1.16255,EURUSD,1.0.0:21f874e75b4864aa,short:32:57,0.0,symbol-metadata-v1,1.16128,0.00031,0.7380952381,False
False,False,0.0,0.0,0.0,0.508197,short,1.16947,6213,3e-05,2025-07-22 12:40,6214,1.17008,3e-05,2025-07-22 12:45,baseline,-1.0,(),-1.508197,STOP,False,0.00031,6212,2025-07-22 12:35,6e-05,0.0983606557,2.5,25.0,0.00025,0.4098360656,1.17008,EURUSD,1.0.0:21f874e75b4864aa,short:42:55,0.0,symbol-metadata-v1,1.16825,0.00031,0.5081967213,False
False,True,0.0,0.0,0.0,0.659574,short,1.16988,6234,3e-05,2025-07-22 14:25,6235,1.16988,3e-05,2025-07-22 14:30,baseline,0.5,"({'event': '+1R_REACHED', 'bar': 0}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 0}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.16988, 'bar': 0})",-0.159574,STOP,True,0.00031,6233,2025-07-22 14:20,6e-05,0.1276595745,2.5,25.0,0.00025,0.5319148936,1.17035,EURUSD,1.0.0:21f874e75b4864aa,short:54:58,0.0,symbol-metadata-v1,1.16894,0.00031,0.6595744681,False
False,False,0.0,0.0,0.0,0.364706,long,1.17547,7286,3e-05,2025-07-28 06:05,7305,1.17462,3e-05,2025-07-28 07:40,baseline,-1.0,(),-1.364706,STOP,False,0.00031,7285,2025-07-28 06:00,6e-05,0.0705882353,2.5,25.0,0.00025,0.2941176471,1.17462,EURUSD,1.0.0:21f874e75b4864aa,long:48:58,0.0,symbol-metadata-v1,1.17716,0.00031,0.3647058824,False
False,True,0.0,0.0,0.0,0.516667,short,1.15924,7576,3e-05,2025-07-29 06:15,7586,1.15804,3e-05,2025-07-29 07:05,baseline,1.5,"({'event': '+1R_REACHED', 'bar': 3}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 3}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.15924, 'bar': 3})",0.983333,TARGET,True,0.00031,7575,2025-07-29 06:10,6e-05,0.1,2.5,25.0,0.00025,0.4166666667,1.15984,EURUSD,1.0.0:21f874e75b4864aa,short:37:57,0.0,symbol-metadata-v1,1.15804,0.00031,0.5166666667,False
False,False,0.0,0.0,0.0,0.462687,short,1.14328,8183,3e-05,2025-07-31 08:50,8185,1.14395,3e-05,2025-07-31 09:00,baseline,-1.0,(),-1.462687,STOP,False,0.00031,8182,2025-07-31 08:45,6e-05,0.0895522388,2.5,25.0,0.00025,0.3731343284,1.14395,EURUSD,1.0.0:21f874e75b4864aa,short:26:57,0.0,symbol-metadata-v1,1.14194,0.00031,0.4626865672,False
False,False,0.0,0.0,0.0,0.54386,short,1.14156,8459,3e-05,2025-08-01 07:50,8466,1.14213,3e-05,2025-08-01 08:25,baseline,-1.0,(),-1.54386,STOP,False,0.00031,8458,2025-08-01 07:45,6e-05,0.1052631579,2.5,25.0,0.00025,0.4385964912,1.14213,EURUSD,1.0.0:21f874e75b4864aa,short:52:56,0.0,symbol-metadata-v1,1.14041,0.00031,0.5438596491,False
False,True,0.0,0.0,0.0,0.344444,short,1.14284,8483,3e-05,2025-08-01 09:50,8505,1.14104,3e-05,2025-08-01 11:40,baseline,1.5,"({'event': '+1R_REACHED', 'bar': 9}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 9}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.14284, 'bar': 9})",1.155556,TARGET,True,0.00031,8482,2025-08-01 09:45,6e-05,0.0666666667,2.5,25.0,0.00025,0.2777777778,1.14374,EURUSD,1.0.0:21f874e75b4864aa,short:58:57,0.0,symbol-metadata-v1,1.14104,0.00031,0.3444444444,False
False,False,0.0,0.0,0.0,0.62,long,1.15581,9033,3e-05,2025-08-05 07:40,9040,1.15531,3e-05,2025-08-05 08:15,baseline,-1.0,(),-1.62,STOP,False,0.00031,9032,2025-08-05 07:35,6e-05,0.12,2.5,25.0,0.00025,0.5,1.15531,EURUSD,1.0.0:21f874e75b4864aa,long:52:57,0.0,symbol-metadata-v1,1.15681,0.00031,0.62,False
False,False,0.0,0.0,0.0,0.418919,long,1.15445,9095,3e-05,2025-08-05 12:50,9099,1.15371,3e-05,2025-08-05 13:10,baseline,-1.0,(),-1.418919,STOP,False,0.00031,9094,2025-08-05 12:45,6e-05,0.0810810811,2.5,25.0,0.00025,0.3378378378,1.15371,EURUSD,1.0.0:21f874e75b4864aa,long:31:58,0.0,symbol-metadata-v1,1.15593,0.00031,0.4189189189,False
False,True,0.0,0.0,0.0,1.068966,short,1.15768,9329,3e-05,2025-08-06 08:20,9335,1.15768,3e-05,2025-08-06 08:50,baseline,0.5,"({'event': '+1R_REACHED', 'bar': 5}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 5}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.15768, 'bar': 5})",-0.568966,STOP,True,0.00031,9328,2025-08-06 08:15,6e-05,0.2068965517,2.5,25.0,0.00025,0.8620689655,1.15797,EURUSD,1.0.0:21f874e75b4864aa,short:58:58,0.0,symbol-metadata-v1,1.1571,0.00031,1.0689655172,False
False,False,0.0,0.0,0.0,0.574074,short,1.16692,9616,3e-05,2025-08-07 08:15,9623,1.16746,3e-05,2025-08-07 08:50,baseline,-1.0,(),-1.574074,STOP,False,0.00031,9615,2025-08-07 08:10,6e-05,0.1111111111,2.5,25.0,0.00025,0.462962963,1.16746,EURUSD,1.0.0:21f874e75b4864aa,short:34:57,0.0,symbol-metadata-v1,1.16583,0.00031,0.5740740741,False
False,False,0.0,0.0,0.0,0.364706,long,1.16459,10253,3e-05,2025-08-11 13:20,10265,1.16374,3e-05,2025-08-11 14:20,baseline,-1.0,(),-1.364706,STOP,False,0.00031,10252,2025-08-11 13:15,6e-05,0.0705882353,2.5,25.0,0.00025,0.2941176471,1.16374,EURUSD,1.0.0:21f874e75b4864aa,long:55:54,0.0,symbol-metadata-v1,1.16628,0.00031,0.3647058824,False
False,True,0.0,0.0,0.0,0.469697,short,1.16893,11129,3e-05,2025-08-14 14:20,11135,1.16893,3e-05,2025-08-14 14:50,baseline,0.5,"({'event': '+1R_REACHED', 'bar': 1}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 1}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.16893, 'bar': 1})",0.030303,STOP,True,0.00031,11128,2025-08-14 14:15,6e-05,0.0909090909,2.5,25.0,0.00025,0.3787878788,1.16959,EURUSD,1.0.0:21f874e75b4864aa,short:39:57,0.0,symbol-metadata-v1,1.16761,0.00031,0.4696969697,False
False,False,0.0,0.0,0.0,0.508197,short,1.16828,11409,3e-05,2025-08-15 13:40,11413,1.16889,3e-05,2025-08-15 14:00,baseline,-1.0,(),-1.508197,STOP,False,0.00031,11408,2025-08-15 13:35,6e-05,0.0983606557,2.5,25.0,0.00025,0.4098360656,1.16889,EURUSD,1.0.0:21f874e75b4864aa,short:51:58,0.0,symbol-metadata-v1,1.16707,0.00031,0.5081967213,False
False,False,0.0,0.0,0.0,0.794872,short,1.16324,12206,3e-05,2025-08-20 08:05,12209,1.16363,3e-05,2025-08-20 08:20,baseline,-1.0,(),-1.794872,STOP,False,0.00031,12205,2025-08-20 08:00,6e-05,0.1538461538,2.5,25.0,0.00025,0.641025641,1.16363,EURUSD,1.0.0:21f874e75b4864aa,short:49:56,0.0,symbol-metadata-v1,1.16247,0.00031,0.7948717949,False
False,False,0.0,0.0,0.0,0.407895,short,1.16359,12248,3e-05,2025-08-20 11:35,12260,1.16435,3e-05,2025-08-20 12:35,baseline,-1.0,(),-1.407895,STOP,False,0.00031,12247,2025-08-20 11:30,6e-05,0.0789473684,2.5,25.0,0.00025,0.3289473684,1.16435,EURUSD,1.0.0:21f874e75b4864aa,short:7:56,0.0,symbol-metadata-v1,1.16208,0.00031,0.4078947368,False
False,True,0.0,0.0,0.0,0.534483,long,1.16998,13046,3e-05,2025-08-25 06:05,13078,1.16998,3e-05,2025-08-25 08:45,baseline,0.5,"({'event': '+1R_REACHED', 'bar': 6}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 6}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.16998, 'bar': 6})",-0.034483,STOP,True,0.00031,13045,2025-08-25 06:00,6e-05,0.1034482759,2.5,25.0,0.00025,0.4310344828,1.1694,EURUSD,1.0.0:21f874e75b4864aa,long:44:58,0.0,symbol-metadata-v1,1.17113,0.00031,0.5344827586,False
False,False,0.0,0.0,0.0,0.688889,long,1.1696,14799,3e-05,2025-09-02 08:10,14801,1.16915,3e-05,2025-09-02 08:20,baseline,-1.0,(),-1.688889,STOP,False,0.00031,14798,2025-09-02 08:05,6e-05,0.1333333333,2.5,25.0,0.00025,0.5555555556,1.16915,EURUSD,1.0.0:21f874e75b4864aa,long:45:55,0.0,symbol-metadata-v1,1.1705,0.00031,0.6888888889,False
False,True,0.0,0.0,0.0,0.62,long,1.17253,16021,3e-05,2025-09-08 14:00,16026,1.17253,3e-05,2025-09-08 14:25,baseline,0.5,"({'event': '+1R_REACHED', 'bar': 3}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 3}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.17253, 'bar': 3})",-0.12,STOP,True,0.00031,16020,2025-09-08 13:55,6e-05,0.12,2.5,25.0,0.00025,0.5,1.17203,EURUSD,1.0.0:21f874e75b4864aa,long:48:54,0.0,symbol-metadata-v1,1.17353,0.00031,0.62,False
False,True,0.0,0.0,0.0,0.645833,long,1.17671,16229,3e-05,2025-09-09 07:20,16238,1.17766,3e-05,2025-09-09 08:05,baseline,1.489583,"({'event': '+1R_REACHED', 'bar': 5}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 5}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.17671, 'bar': 5})",0.84375,TARGET,True,0.00031,16228,2025-09-09 07:15,6e-05,0.125,2.5,25.0,0.00025,0.5208333333,1.17623,EURUSD,1.0.0:21f874e75b4864aa,long:58:55,0.0,symbol-metadata-v1,1.17766,0.00031,0.6458333333,False
False,True,0.0,0.0,0.0,0.704545,short,1.17108,16534,3e-05,2025-09-10 08:45,16538,1.17108,3e-05,2025-09-10 09:05,baseline,0.5,"({'event': '+1R_REACHED', 'bar': 1}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 1}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.17108, 'bar': 1})",-0.204545,STOP,True,0.00031,16533,2025-09-10 08:40,6e-05,0.1363636364,2.5,25.0,0.00025,0.5681818182,1.17152,EURUSD,1.0.0:21f874e75b4864aa,short:28:55,0.0,symbol-metadata-v1,1.1702,0.00031,0.7045454545,False
False,False,0.0,0.0,0.0,0.738095,long,1.18046,19103,3e-05,2025-09-23 06:50,19108,1.18004,3e-05,2025-09-23 07:15,baseline,-1.0,(),-1.738095,STOP,False,0.00031,19102,2025-09-23 06:45,6e-05,0.1428571429,2.5,25.0,0.00025,0.5952380952,1.18004,EURUSD,1.0.0:21f874e75b4864aa,long:26:57,0.0,symbol-metadata-v1,1.18129,0.00031,0.7380952381,False
False,True,0.0,0.0,0.0,0.508197,short,1.17238,21695,3e-05,2025-10-06 06:55,21722,1.17116,3e-05,2025-10-06 09:10,baseline,1.5,"({'event': '+1R_REACHED', 'bar': 15}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 15}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.17238, 'bar': 15})",0.991803,TARGET,True,0.00031,21694,2025-10-06 06:50,6e-05,0.0983606557,2.5,25.0,0.00025,0.4098360656,1.17299,EURUSD,1.0.0:21f874e75b4864aa,short:56:56,0.0,symbol-metadata-v1,1.17116,0.00031,0.5081967213,False
False,False,0.0,0.0,0.0,0.298077,long,1.15928,23197,3e-05,2025-10-13 12:05,23212,1.15824,3e-05,2025-10-13 13:20,baseline,-1.0,(),-1.298077,STOP,False,0.00031,23196,2025-10-13 12:00,6e-05,0.0576923077,2.5,25.0,0.00025,0.2403846154,1.15824,EURUSD,1.0.0:21f874e75b4864aa,long:34:58,0.0,symbol-metadata-v1,1.16136,0.00031,0.2980769231,False
False,True,0.0,0.0,0.0,0.534483,long,1.16586,24021,3e-05,2025-10-16 08:50,24029,1.16586,3e-05,2025-10-16 09:30,baseline,0.5,"({'event': '+1R_REACHED', 'bar': 4}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 4}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.16586, 'bar': 4})",-0.034483,STOP,True,0.00031,24020,2025-10-16 08:45,6e-05,0.1034482759,2.5,25.0,0.00025,0.4310344828,1.16528,EURUSD,1.0.0:21f874e75b4864aa,long:57:56,0.0,symbol-metadata-v1,1.16701,0.00031,0.5344827586,False
False,False,0.0,0.0,0.0,0.382716,long,1.17001,24369,3e-05,2025-10-17 13:50,24369,1.1692,3e-05,2025-10-17 13:50,baseline,-1.0,(),-1.382716,STOP,False,0.00031,24368,2025-10-17 13:45,6e-05,0.0740740741,2.5,25.0,0.00025,0.3086419753,1.1692,EURUSD,1.0.0:21f874e75b4864aa,long:56:57,0.0,symbol-metadata-v1,1.17164,0.00031,0.3827160494,False
False,False,0.0,0.0,0.0,0.704545,short,1.16058,25143,3e-05,2025-10-22 06:20,25163,1.16102,3e-05,2025-10-22 08:00,baseline,-1.0,(),-1.704545,STOP,False,0.00031,25142,2025-10-22 06:15,6e-05,0.1363636364,2.5,25.0,0.00025,0.5681818182,1.16102,EURUSD,1.0.0:21f874e75b4864aa,short:34:52,0.0,symbol-metadata-v1,1.15971,0.00031,0.7045454545,False
False,True,0.0,0.0,0.0,0.525424,short,1.15979,25496,3e-05,2025-10-23 11:45,25522,1.15861,3e-05,2025-10-23 13:55,baseline,1.5,"({'event': '+1R_REACHED', 'bar': 15}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 15}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.15979, 'bar': 15})",0.974576,TARGET,True,0.00031,25495,2025-10-23 11:40,6e-05,0.1016949153,2.5,25.0,0.00025,0.4237288136,1.16038,EURUSD,1.0.0:21f874e75b4864aa,short:46:56,0.0,symbol-metadata-v1,1.15861,0.00031,0.5254237288,False
False,True,0.0,0.0,0.0,1.347826,long,1.16085,25720,3e-05,2025-10-24 06:25,25726,1.16085,3e-05,2025-10-24 06:55,baseline,0.5,"({'event': '+1R_REACHED', 'bar': 5}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 5}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.16085, 'bar': 5})",-0.847826,STOP,True,0.00031,25719,2025-10-24 06:20,6e-05,0.2608695652,2.5,25.0,0.00025,1.0869565217,1.16062,EURUSD,1.0.0:21f874e75b4864aa,long:58:58,0.0,symbol-metadata-v1,1.16131,0.00031,1.347826087,False
False,False,0.0,0.0,0.0,1.409091,long,1.1607,25739,3e-05,2025-10-24 08:00,25744,1.16048,3e-05,2025-10-24 08:25,baseline,-1.0,(),-2.409091,STOP,False,0.00031,25738,2025-10-24 07:55,6e-05,0.2727272727,2.5,25.0,0.00025,1.1363636364,1.16048,EURUSD,1.0.0:21f874e75b4864aa,long:39:57,0.0,symbol-metadata-v1,1.16114,0.00031,1.4090909091,False
False,True,0.0,0.0,0.0,0.584906,long,1.16269,26035,3e-05,2025-10-27 08:40,26042,1.16269,3e-05,2025-10-27 09:15,baseline,0.5,"({'event': '+1R_REACHED', 'bar': 5}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 5}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.16269, 'bar': 5})",-0.084906,STOP,True,0.00031,26034,2025-10-27 08:35,6e-05,0.1132075472,2.5,25.0,0.00025,0.4716981132,1.16216,EURUSD,1.0.0:21f874e75b4864aa,long:52:56,0.0,symbol-metadata-v1,1.16374,0.00031,0.5849056604,False
False,True,0.0,0.0,0.0,1.291667,long,1.16577,26300,3e-05,2025-10-28 06:45,26301,1.16626,3e-05,2025-10-28 06:50,baseline,1.520833,"({'event': '+1R_REACHED', 'bar': 0}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 0}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.16577, 'bar': 0})",0.229167,TARGET,True,0.00031,26299,2025-10-28 06:40,6e-05,0.25,2.5,25.0,0.00025,1.0416666667,1.16553,EURUSD,1.0.0:21f874e75b4864aa,long:47:58,0.0,symbol-metadata-v1,1.16626,0.00031,1.2916666667,False
False,True,0.0,0.0,0.0,0.534483,short,1.16425,26678,3e-05,2025-10-29 14:15,26685,1.16425,3e-05,2025-10-29 14:50,baseline,0.5,"({'event': '+1R_REACHED', 'bar': 1}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 1}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.16425, 'bar': 1})",-0.034483,STOP,True,0.00031,26677,2025-10-29 14:10,6e-05,0.1034482759,2.5,25.0,0.00025,0.4310344828,1.16483,EURUSD,1.0.0:21f874e75b4864aa,short:53:57,0.0,symbol-metadata-v1,1.16308,0.00031,0.5344827586,False
False,False,0.0,0.0,0.0,0.469697,long,1.15186,27531,3e-05,2025-11-03 13:20,27553,1.1512,3e-05,2025-11-03 15:10,baseline,-1.0,(),-1.469697,STOP,False,0.00031,27530,2025-11-03 13:15,6e-05,0.0909090909,2.5,25.0,0.00025,0.3787878788,1.1512,EURUSD,1.0.0:21f874e75b4864aa,long:50:56,0.0,symbol-metadata-v1,1.15318,0.00031,0.4696969697,False
False,False,0.0,0.0,0.0,0.939394,short,1.15585,28898,3e-05,2025-11-10 07:15,28899,1.15618,3e-05,2025-11-10 07:20,baseline,-1.0,(),-1.939394,STOP,False,0.00031,28897,2025-11-10 07:10,6e-05,0.1818181818,2.5,25.0,0.00025,0.7575757576,1.15618,EURUSD,1.0.0:21f874e75b4864aa,short:51:55,0.0,symbol-metadata-v1,1.15519,0.00031,0.9393939394,False
False,True,0.0,0.0,0.0,0.673913,short,1.15605,28912,3e-05,2025-11-10 08:25,28921,1.15605,3e-05,2025-11-10 09:10,baseline,0.5,"({'event': '+1R_REACHED', 'bar': 4}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 4}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.15605, 'bar': 4})",-0.173913,STOP,True,0.00031,28911,2025-11-10 08:20,6e-05,0.1304347826,2.5,25.0,0.00025,0.5434782609,1.15651,EURUSD,1.0.0:21f874e75b4864aa,short:37:56,0.0,symbol-metadata-v1,1.15513,0.00031,0.6739130435,False
False,True,0.0,0.0,0.0,1.291667,short,1.1561,29198,3e-05,2025-11-11 08:15,29203,1.15561,3e-05,2025-11-11 08:40,baseline,1.520833,"({'event': '+1R_REACHED', 'bar': 4}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 4}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.1561, 'bar': 4})",0.229167,TARGET,True,0.00031,29197,2025-11-11 08:10,6e-05,0.25,2.5,25.0,0.00025,1.0416666667,1.15634,EURUSD,1.0.0:21f874e75b4864aa,short:45:57,0.0,symbol-metadata-v1,1.15561,0.00031,1.2916666667,False
