signal_index,signal_time,entry_index,entry_time,exit_index,exit_time,direction,entry,stop,target,exit_price,gross_r,cost_r,net_r,outcome,structure_key,symbol_metadata_version,spread_price,spread_points,spread_pips,entry_slippage_price,exit_slippage_price,slippage_price_round_trip,commission_usd_round_turn,commission,spread_r,slippage_r,commission_r,swap_r,price_cost_round_trip,total_cost,total_cost_r,partial_taken,break_even_activated,ambiguous_bar,unresolved_open_position,management_events,experiment_id,strategy_id,strategy_version,symbol
3349,2025-07-08 14:00,3350,2025-07-08 14:05,3360,2025-07-08 14:55,long,1.17318,1.17222,1.17511,1.17222,-1.0,0.322917,-1.322917,STOP,ST-C1|1.0.0|EURUSD|long|sweep@2025-07-08 12:30@1.17457|poi@bullish_order_block@2025-07-08 13:45@1.17227@1.17275|confirm@2025-07-08 14:00|choch@2025-07-08 14:00@1.17227,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.2604166667,0.0625,0.0,0.0,0.00031,0.00031,0.3229166667,False,False,False,False,(),baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
3849,2025-07-10 07:40,3850,2025-07-10 07:45,3866,2025-07-10 09:05,long,1.17349,1.17295,1.17457,1.17349,0.5,0.574074,-0.074074,STOP,ST-C1|1.0.0|EURUSD|long|sweep@2025-07-10 06:15@1.17365|poi@bullish_order_block@2025-07-10 07:30@1.17298@1.17317|confirm@2025-07-10 07:40|choch@2025-07-10 07:40@1.17298,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.462962963,0.1111111111,0.0,0.0,0.00031,0.00031,0.5740740741,True,True,False,False,"({'event': '+1R_REACHED', 'bar': 13}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 13}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.17349, 'bar': 13})",baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
4512,2025-07-14 14:55,4513,2025-07-14 15:00,4527,2025-07-14 16:10,short,1.1688,1.16934,1.16772,1.16772,1.5,0.574074,0.925926,TARGET,ST-C1|1.0.0|EURUSD|short|sweep@2025-07-14 14:15@1.16944|poi@bearish_order_block@2025-07-14 14:35@1.16890@1.16929|confirm@2025-07-14 14:55|choch@2025-07-14 14:55@1.16965,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.462962963,0.1111111111,0.0,0.0,0.00031,0.00031,0.5740740741,True,True,False,False,"({'event': '+1R_REACHED', 'bar': 6}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 6}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.1688, 'bar': 6})",baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
5300,2025-07-17 08:35,5301,2025-07-17 08:40,5305,2025-07-17 09:00,short,1.16213,1.16255,1.16128,1.16128,1.511905,0.738095,0.77381,TARGET,ST-C1|1.0.0|EURUSD|short|sweep@2025-07-17 04:15@1.16240|poi@bearish_order_block@2025-07-17 08:25@1.16220@1.16252|confirm@2025-07-17 08:35|choch@2025-07-17 08:35@1.16268,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.5952380952,0.1428571429,0.0,0.0,0.00031,0.00031,0.7380952381,True,True,False,False,"({'event': '+1R_REACHED', 'bar': 3}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 3}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.16213, 'bar': 3})",baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
6212,2025-07-22 12:35,6213,2025-07-22 12:40,6214,2025-07-22 12:45,short,1.16947,1.17008,1.16825,1.17008,-1.0,0.508197,-1.508197,STOP,ST-C1|1.0.0|EURUSD|short|sweep@2025-07-22 11:10@1.16893|poi@bearish_order_block@2025-07-22 12:15@1.16976@1.17002|confirm@2025-07-22 12:35|choch@2025-07-22 12:35@1.17015,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.4098360656,0.0983606557,0.0,0.0,0.00031,0.00031,0.5081967213,False,False,False,False,(),baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
6233,2025-07-22 14:20,6234,2025-07-22 14:25,6235,2025-07-22 14:30,short,1.16988,1.17031,1.16902,1.16988,0.5,0.72093,-0.22093,STOP,ST-C1|1.0.0|EURUSD|short|sweep@2025-07-22 11:10@1.16893|poi@bearish_order_block@2025-07-22 14:15@1.17002@1.17027|confirm@2025-07-22 14:20|choch@2025-07-22 14:20@1.17031,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.5813953488,0.1395348837,0.0,0.0,0.00031,0.00031,0.7209302326,True,True,False,False,"({'event': '+1R_REACHED', 'bar': 0}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 0}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.16988, 'bar': 0})",baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
7285,2025-07-28 06:00,7286,2025-07-28 06:05,7287,2025-07-28 06:10,long,1.17547,1.17518,1.17604,1.17518,-1.0,1.068966,-2.068966,STOP,ST-C1|1.0.0|EURUSD|long|sweep@2025-07-28 05:05@1.17467|poi@bullish_order_block@2025-07-28 05:55@1.17523@1.17569|confirm@2025-07-28 06:00|choch@2025-07-28 06:00@1.17456,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.8620689655,0.2068965517,0.0,0.0,0.00031,0.00031,1.0689655172,False,False,False,False,(),baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
7575,2025-07-29 06:10,7576,2025-07-29 06:15,7586,2025-07-29 07:05,short,1.15924,1.15984,1.15804,1.15804,1.5,0.516667,0.983333,TARGET,ST-C1|1.0.0|EURUSD|short|sweep@2025-07-29 04:20@1.15932|poi@bearish_order_block@2025-07-29 06:00@1.15962@1.15980|confirm@2025-07-29 06:10|choch@2025-07-29 06:10@1.15980,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.4166666667,0.1,0.0,0.0,0.00031,0.00031,0.5166666667,True,True,False,False,"({'event': '+1R_REACHED', 'bar': 3}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 3}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.15924, 'bar': 3})",baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
8182,2025-07-31 08:45,8183,2025-07-31 08:50,8185,2025-07-31 09:00,short,1.14328,1.14395,1.14194,1.14395,-1.0,0.462687,-1.462687,STOP,ST-C1|1.0.0|EURUSD|short|sweep@2025-07-31 06:00@1.14313|poi@bearish_order_block@2025-07-31 08:35@1.14348@1.14389|confirm@2025-07-31 08:45|choch@2025-07-31 08:45@1.14425,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.3731343284,0.0895522388,0.0,0.0,0.00031,0.00031,0.4626865672,False,False,False,False,(),baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
8458,2025-08-01 07:45,8459,2025-08-01 07:50,8466,2025-08-01 08:25,short,1.14156,1.14213,1.14041,1.14213,-1.0,0.54386,-1.54386,STOP,ST-C1|1.0.0|EURUSD|short|sweep@2025-08-01 07:10@1.14205|poi@bearish_order_block@2025-08-01 07:30@1.14165@1.14209|confirm@2025-08-01 07:45|choch@2025-08-01 07:45@1.14209,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.4385964912,0.1052631579,0.0,0.0,0.00031,0.00031,0.5438596491,False,False,False,False,(),baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
8482,2025-08-01 09:45,8483,2025-08-01 09:50,8495,2025-08-01 10:50,short,1.14284,1.14363,1.14126,1.14126,1.5,0.392405,1.107595,TARGET,ST-C1|1.0.0|EURUSD|short|sweep@2025-08-01 09:40@1.14368|poi@bearish_order_block@2025-08-01 09:35@1.14321@1.14357|confirm@2025-08-01 09:45|choch@2025-08-01 09:45@1.14368,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.3164556962,0.0759493671,0.0,0.0,0.00031,0.00031,0.3924050633,True,True,False,False,"({'event': '+1R_REACHED', 'bar': 9}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 9}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.14284, 'bar': 9})",baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
9032,2025-08-05 07:35,9033,2025-08-05 07:40,9040,2025-08-05 08:15,long,1.15581,1.15531,1.15681,1.15531,-1.0,0.62,-1.62,STOP,ST-C1|1.0.0|EURUSD|long|sweep@2025-08-05 07:00@1.15546|poi@bullish_order_block@2025-08-05 07:25@1.15535@1.15559|confirm@2025-08-05 07:35|choch@2025-08-05 07:35@1.15535,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.5,0.12,0.0,0.0,0.00031,0.00031,0.62,False,False,False,False,(),baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
9094,2025-08-05 12:45,9095,2025-08-05 12:50,9099,2025-08-05 13:10,long,1.15445,1.15371,1.15593,1.15371,-1.0,0.418919,-1.418919,STOP,ST-C1|1.0.0|EURUSD|long|sweep@2025-08-05 09:00@1.15434|poi@bullish_order_block@2025-08-05 12:40@1.15378@1.15404|confirm@2025-08-05 12:45|choch@2025-08-05 12:45@1.15295,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.3378378378,0.0810810811,0.0,0.0,0.00031,0.00031,0.4189189189,False,False,False,False,(),baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
9328,2025-08-06 08:15,9329,2025-08-06 08:20,9333,2025-08-06 08:40,short,1.15768,1.15788,1.15728,1.15768,0.5,1.55,-1.05,STOP,ST-C1|1.0.0|EURUSD|short|sweep@2025-08-06 05:20@1.15704|poi@bearish_order_block@2025-08-06 08:10@1.15759@1.15784|confirm@2025-08-06 08:15|choch@2025-08-06 08:15@1.15856,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,1.25,0.3,0.0,0.0,0.00031,0.00031,1.55,True,True,False,False,"({'event': '+1R_REACHED', 'bar': 2}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 2}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.15768, 'bar': 2})",baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
9615,2025-08-07 08:10,9616,2025-08-07 08:15,9623,2025-08-07 08:50,short,1.16692,1.16746,1.16583,1.16746,-1.0,0.574074,-1.574074,STOP,ST-C1|1.0.0|EURUSD|short|sweep@2025-08-07 04:15@1.16543|poi@bearish_order_block@2025-08-07 08:00@1.16708@1.16742|confirm@2025-08-07 08:10|choch@2025-08-07 08:10@1.16758,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.462962963,0.1111111111,0.0,0.0,0.00031,0.00031,0.5740740741,False,False,False,False,(),baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
10252,2025-08-11 13:15,10253,2025-08-11 13:20,10265,2025-08-11 14:20,long,1.16459,1.16389,1.16598,1.16389,-1.0,0.442857,-1.442857,STOP,ST-C1|1.0.0|EURUSD|long|sweep@2025-08-11 12:55@1.16380|poi@bullish_order_block@2025-08-11 12:50@1.16395@1.16439|confirm@2025-08-11 13:15|choch@2025-08-11 13:15@1.16376,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.3571428571,0.0857142857,0.0,0.0,0.00031,0.00031,0.4428571429,False,False,False,False,(),baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
11128,2025-08-14 14:15,11129,2025-08-14 14:20,11135,2025-08-14 14:50,short,1.16893,1.16959,1.16761,1.16893,0.5,0.469697,0.030303,STOP,ST-C1|1.0.0|EURUSD|short|sweep@2025-08-14 12:35@1.16847|poi@bearish_order_block@2025-08-14 14:05@1.16916@1.16953|confirm@2025-08-14 14:15|choch@2025-08-14 14:15@1.16960,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.3787878788,0.0909090909,0.0,0.0,0.00031,0.00031,0.4696969697,True,True,False,False,"({'event': '+1R_REACHED', 'bar': 1}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 1}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.16893, 'bar': 1})",baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
11408,2025-08-15 13:35,11409,2025-08-15 13:40,11410,2025-08-15 13:45,short,1.16828,1.16861,1.16763,1.16861,-1.0,0.939394,-1.939394,STOP,ST-C1|1.0.0|EURUSD|short|sweep@2025-08-15 12:55@1.16884|poi@bearish_order_block@2025-08-15 13:30@1.16831@1.16856|confirm@2025-08-15 13:35|choch@2025-08-15 13:35@1.16908,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.7575757576,0.1818181818,0.0,0.0,0.00031,0.00031,0.9393939394,False,False,False,False,(),baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
12205,2025-08-20 08:00,12206,2025-08-20 08:05,12209,2025-08-20 08:20,short,1.16324,1.16361,1.16251,1.16361,-1.0,0.837838,-1.837838,STOP,ST-C1|1.0.0|EURUSD|short|sweep@2025-08-20 07:10@1.16359|poi@bearish_order_block@2025-08-20 07:45@1.16335@1.16357|confirm@2025-08-20 08:00|choch@2025-08-20 08:00@1.16376,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.6756756757,0.1621621622,0.0,0.0,0.00031,0.00031,0.8378378378,False,False,False,False,(),baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
12217,2025-08-20 09:00,12218,2025-08-20 09:05,12223,2025-08-20 09:30,short,1.16324,1.16392,1.16188,1.16324,0.5,0.455882,0.044118,STOP,ST-C1|1.0.0|EURUSD|short|sweep@2025-08-20 07:10@1.16359|poi@bearish_order_block@2025-08-20 08:50@1.16375@1.16388|confirm@2025-08-20 09:00|choch@2025-08-20 09:00@1.16391,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.3676470588,0.0882352941,0.0,0.0,0.00031,0.00031,0.4558823529,True,True,False,False,"({'event': '+1R_REACHED', 'bar': 0}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 0}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.16324, 'bar': 0})",baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
12247,2025-08-20 11:30,12248,2025-08-20 11:35,12260,2025-08-20 12:35,short,1.16359,1.16435,1.16208,1.16435,-1.0,0.407895,-1.407895,STOP,ST-C1|1.0.0|EURUSD|short|sweep@2025-08-20 07:10@1.16359|poi@bearish_order_block@2025-08-20 11:15@1.16398@1.16429|confirm@2025-08-20 11:30|choch@2025-08-20 11:30@1.16459,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.3289473684,0.0789473684,0.0,0.0,0.00031,0.00031,0.4078947368,False,False,False,False,(),baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
13045,2025-08-25 06:00,13046,2025-08-25 06:05,13078,2025-08-25 08:45,long,1.16998,1.16958,1.17077,1.16998,0.5,0.775,-0.275,STOP,ST-C1|1.0.0|EURUSD|long|sweep@2025-08-25 04:45@1.16944|poi@bullish_order_block@2025-08-25 05:55@1.16962@1.16994|confirm@2025-08-25 06:00|choch@2025-08-25 06:00@1.16932,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.625,0.15,0.0,0.0,0.00031,0.00031,0.775,True,True,False,False,"({'event': '+1R_REACHED', 'bar': 1}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 1}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.16998, 'bar': 1})",baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
14798,2025-09-02 08:05,14799,2025-09-02 08:10,14801,2025-09-02 08:20,long,1.1696,1.16915,1.1705,1.16915,-1.0,0.688889,-1.688889,STOP,ST-C1|1.0.0|EURUSD|long|sweep@2025-09-02 06:55@1.16941|poi@bullish_order_block@2025-09-02 07:45@1.16918@1.16945|confirm@2025-09-02 08:05|choch@2025-09-02 08:05@1.16913,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.5555555556,0.1333333333,0.0,0.0,0.00031,0.00031,0.6888888889,False,False,False,False,(),baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
16020,2025-09-08 13:55,16021,2025-09-08 14:00,16026,2025-09-08 14:25,long,1.17253,1.17208,1.17343,1.17253,0.5,0.688889,-0.188889,STOP,ST-C1|1.0.0|EURUSD|long|sweep@2025-09-08 13:00@1.17208|poi@bullish_order_block@2025-09-08 13:30@1.17213@1.17250|confirm@2025-09-08 13:55|choch@2025-09-08 13:55@1.17200,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.5555555556,0.1333333333,0.0,0.0,0.00031,0.00031,0.6888888889,True,True,False,False,"({'event': '+1R_REACHED', 'bar': 1}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 1}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.17253, 'bar': 1})",baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
16228,2025-09-09 07:15,16229,2025-09-09 07:20,16238,2025-09-09 08:05,long,1.17671,1.17623,1.17766,1.17766,1.489583,0.645833,0.84375,TARGET,ST-C1|1.0.0|EURUSD|long|sweep@2025-09-09 06:30@1.17652|poi@bullish_order_block@2025-09-09 06:55@1.17626@1.17644|confirm@2025-09-09 07:15|choch@2025-09-09 07:15@1.17626,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.5208333333,0.125,0.0,0.0,0.00031,0.00031,0.6458333333,True,True,False,False,"({'event': '+1R_REACHED', 'bar': 5}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 5}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.17671, 'bar': 5})",baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
16533,2025-09-10 08:40,16534,2025-09-10 08:45,16538,2025-09-10 09:05,short,1.17108,1.17152,1.1702,1.17108,0.5,0.704545,-0.204545,STOP,ST-C1|1.0.0|EURUSD|short|sweep@2025-09-10 06:05@1.17079|poi@bearish_order_block@2025-09-10 08:20@1.17132@1.17149|confirm@2025-09-10 08:40|choch@2025-09-10 08:40@1.17152,symbol-metadata-v1,0.00025,25.0,2.5,3e-05,3e-05,6e-05,0.0,0.0,0.5681818182,0.1363636364,0.0,0.0,0.00031,0.00031,0.7045454545,True,True,False,False,"({'event': '+1R_REACHED', 'bar': 1}, {'event': 'PARTIAL_TAKEN', 'fraction': 0.5, 'bar': 1}, {'event': 'BREAK_EVEN_ACTIVATED', 'new_stop': 1.17108, 'bar': 1})",baseline,ST-C1,1.0.0:21f874e75b4864aa,EURUSD
